,product_data_storage,csat_score,articles_viewed,smartphone_notifications_viewed,marketing_emails_clicked,social_media_ads_viewed,minutes_customer_support,months_active,churned,product_travel_expense_Free-Trial,product_travel_expense_No,product_payroll_Free-Trial,product_payroll_No,product_accounting_Free-Trial,product_accounting_No,us_region_East South Central,us_region_Middle Atlantic,us_region_Mountain,us_region_New England,us_region_Pacific,us_region_South Atlantic,us_region_West North Central,us_region_West South Central,company_size_10-50,company_size_100-250,company_size_50-100,company_size_self-employed
63,500,10,6,0,11,0,0.0,5.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
64,500,9,3,1,20,0,0.0,9.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
65,1024,10,8,1,18,0,0.0,4.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,2048,7,1,1,17,1,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,1024,10,5,0,18,1,1.3,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
68,2048,7,4,1,19,1,0.0,4.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
69,2048,10,5,1,16,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
70,1024,9,2,0,18,1,0.0,5.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
71,500,10,4,0,17,0,0.0,5.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,2048,9,5,1,17,1,0.0,9.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
73,500,9,4,1,19,0,0.0,3.0,1.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
74,500,10,5,0,16,0,0.0,8.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75,1024,9,4,1,19,1,0.0,3.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,5120,8,4,1,19,0,0.0,1.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
77,2048,7,4,0,15,0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78,200,9,2,0,13,1,0.0,4.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
79,2048,10,7,1,17,0,3.6,3.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
80,1024,7,5,0,17,0,0.0,2.0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
81,2048,10,4,0,17,0,5.2,8.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,1024,10,2,0,15,0,0.0,4.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1024,9,5,1,20,1,0.0,9.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
84,5120,8,9,0,17,1,0.0,2.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
85,2048,8,6,1,11,1,0.0,3.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
86,5120,8,4,0,11,1,0.0,5.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
87,1024,6,3,0,17,1,5.1,4.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
88,500,9,4,0,14,0,0.0,1.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
89,200,10,0,0,18,0,5.0,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,1024,10,5,1,19,0,0.0,7.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,500,9,5,0,14,0,23.9,3.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
92,500,8,4,0,18,0,32.6,3.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
93,500,8,4,0,15,0,0.0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
94,2048,8,2,0,16,0,1.5,3.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
95,200,9,3,0,13,0,12.3,3.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
96,1024,10,3,1,19,0,0.0,12.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
97,2048,7,5,0,17,0,0.0,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
98,2048,10,6,1,21,1,0.0,3.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
99,500,10,7,1,20,1,0.0,8.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100,500,9,2,0,11,0,0.0,3.0,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
101,1024,9,2,1,19,0,0.0,4.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
102,2048,7,6,1,14,0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
103,500,10,3,1,14,1,0.0,5.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
104,1024,9,1,0,20,0,0.0,5.0,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105,1024,8,5,1,15,0,18.1,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
106,2048,9,6,1,17,0,0.0,4.0,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
107,1024,10,4,0,11,0,0.0,8.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
108,100,9,4,0,17,0,0.0,4.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,500,10,4,1,15,0,0.0,8.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
110,500,9,3,0,15,0,0.0,4.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,500,8,4,0,19,0,0.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
112,500,10,2,1,19,0,0.0,4.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
113,1024,9,5,0,14,1,0.0,1.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
114,2048,9,2,0,13,0,14.2,3.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
115,1024,10,3,0,15,0,0.0,4.0,1.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
116,500,8,4,2,15,1,0.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
117,2048,10,4,2,15,1,0.0,2.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
118,500,10,4,1,17,1,1.8,4.0,1.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
119,500,8,3,0,15,2,18.4,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,5120,10,5,0,18,1,0.0,5.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
121,2048,10,6,0,12,0,0.0,1.0,0.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
122,5120,8,4,0,19,0,12.7,3.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
123,5120,7,3,0,15,0,0.0,4.0,1.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
124,1024,9,8,0,17,1,0.0,3.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
125,500,9,2,0,16,0,0.0,5.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
126,1024,8,3,1,24,0,0.0,2.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127,2048,9,1,0,20,0,0.0,11.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,2048,9,6,0,18,1,10.7,5.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
129,5120,10,4,0,20,0,0.0,7.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
130,500,10,6,0,11,1,0.0,4.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
131,2048,8,4,0,16,0,0.0,5.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
132,1024,9,8,0,16,0,0.0,2.0,1.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
133,5120,7,2,0,12,1,0.0,2.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
134,500,10,7,0,20,0,37.9,2.0,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
135,500,10,3,0,20,0,0.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
136,1024,6,3,0,13,0,0.0,4.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,500,8,1,0,16,0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
138,1024,10,3,0,23,0,0.0,9.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
139,200,9,3,0,16,0,0.0,3.0,1.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
140,500,10,3,0,17,0,15.9,2.0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
141,1024,9,4,0,22,0,15.5,4.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
142,2048,10,5,0,15,0,0.0,5.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
143,2048,8,3,0,11,0,0.0,4.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
144,1024,9,7,0,16,1,0.0,2.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
145,5120,10,4,0,18,1,0.0,7.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
146,1024,9,4,0,15,0,33.0,2.0,1.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
147,500,7,5,1,13,1,0.0,3.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
148,1024,9,2,1,16,1,0.0,3.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
149,500,10,2,1,16,1,0.0,9.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
150,1024,10,2,0,19,1,25.0,5.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
151,5120,10,5,1,14,2,0.0,1.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
152,1024,9,4,0,21,0,0.0,5.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
153,500,8,7,0,16,0,0.0,2.0,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
154,2048,9,7,0,18,0,0.0,4.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
155,2048,10,1,1,20,1,0.0,7.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
156,2048,9,2,0,17,1,0.6,5.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
157,1024,8,8,0,18,1,0.0,2.0,1.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
158,2048,8,1,0,18,0,0.0,3.0,1.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
159,5120,7,1,2,20,0,0.0,3.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
160,500,7,7,0,18,0,0.0,2.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
161,1024,10,4,0,20,1,0.0,8.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
162,2048,8,4,1,19,0,25.5,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
163,1024,10,4,0,22,1,0.0,4.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
164,200,9,0,0,15,0,0.0,4.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
165,1024,10,4,0,10,0,0.0,4.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
166,500,9,7,2,13,0,0.0,4.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
167,200,8,9,0,13,0,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168,1024,9,8,1,18,0,21.0,2.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
169,1024,10,6,1,13,1,0.0,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
170,1024,9,4,0,15,0,0.0,2.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
171,2048,7,3,0,17,0,0.8,3.0,1.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
172,200,10,9,0,19,1,0.0,3.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
173,500,8,1,3,15,0,0.0,1.0,1.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
174,200,9,4,0,13,0,0.0,2.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
175,1024,8,3,2,15,0,4.1,1.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
176,2048,7,2,3,12,1,0.0,2.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
177,5120,9,5,1,17,0,0.0,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
178,500,8,2,1,21,1,0.0,3.0,1.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
179,1024,7,2,0,15,0,0.0,4.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
180,500,7,6,0,23,1,1.6,3.0,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
181,5120,10,6,1,20,1,0.0,7.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
182,1024,10,10,0,21,1,0.0,5.0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
183,1024,10,4,0,19,1,7.5,4.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,1024,10,3,0,16,1,0.0,4.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
185,2048,9,6,0,14,0,25.8,2.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,2048,9,2,0,13,1,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
187,1024,10,5,0,16,0,0.0,7.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
188,1024,9,2,0,13,1,0.0,7.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
189,2048,9,4,0,19,0,0.0,1.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
190,500,9,1,0,19,0,0.0,9.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
191,1024,10,5,0,18,0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
192,2048,9,6,0,17,0,0.0,3.0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
193,500,10,5,0,19,0,0.0,7.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
194,1024,10,4,1,11,1,0.0,8.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,500,10,5,1,20,1,0.0,8.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
196,2048,10,3,0,17,0,1.0,8.0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
197,1024,9,3,0,18,0,0.0,5.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
198,5120,10,3,0,17,1,2.5,5.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
199,500,9,4,0,15,0,19.1,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
200,1024,9,2,0,17,0,7.2,3.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
201,200,10,7,2,19,1,0.0,2.0,1.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
202,2048,8,4,1,15,1,0.0,1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
203,1024,9,8,0,20,1,0.0,4.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
204,5120,9,2,0,9,1,0.0,4.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
205,1024,9,4,1,17,1,4.9,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,500,9,5,0,14,0,0.0,4.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
207,2048,8,4,0,18,0,12.7,4.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
208,1024,10,4,1,20,1,8.0,5.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
209,500,10,2,0,22,0,0.0,7.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2048,10,2,0,16,1,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
211,1024,10,2,1,16,1,0.0,12.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
212,2048,9,3,0,16,0,0.0,3.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
213,1024,10,6,0,18,0,0.6,5.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
214,200,10,1,2,9,0,0.0,2.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
